steps,total reward,episodes
10000,11.0,117
20000,21.0,213
30000,28.0,300
40000,46.0,402
50000,203.0,668
60000,313.0,1052
70000,330.0,1473
80000,329.0,1873
90000,349.0,2291
100000,345.0,2713
