episodes,total reward,steps
132,0.0,10000
222,5.0,20000
454,155.0,30000
760,239.0,40000
1068,230.0,50000
1383,243.0,60000
1714,249.0,70000
2037,243.0,80000
2346,223.0,90000
2672,239.0,100000
