total reward,episodes,steps
0.0,124,10000
3.0,227,20000
38.0,350,30000
227.0,659,40000
243.0,971,50000
230.0,1288,60000
236.0,1612,70000
235.0,1933,80000
256.0,2263,90000
249.0,2585,100000
