episodes,steps,total reward
274,10000,23.0
518,20000,27.0
758,30000,22.0
975,40000,22.0
1208,50000,23.0
1414,60000,33.0
1632,70000,19.0
1828,80000,20.0
2104,90000,28.0
2325,100000,28.0
