total reward,episodes,steps
22.0,97,10000
220.0,375,20000
357.0,819,30000
361.0,1276,40000
366.0,1724,50000
366.0,2169,60000
370.0,2620,70000
364.0,3066,80000
369.0,3517,90000
368.0,3969,100000
