total reward,episodes,steps
39.0,210,10000
45.0,375,20000
59.0,524,30000
60.0,695,40000
47.0,860,50000
55.0,1037,60000
62.0,1218,70000
77.0,1409,80000
83.0,1600,90000
95.0,1812,100000
