steps,episodes,total reward
10000,211,46.0
20000,372,36.0
30000,501,38.0
40000,655,46.0
50000,796,50.0
60000,945,52.0
70000,1082,40.0
80000,1240,59.0
90000,1425,56.0
100000,1612,67.0
