steps,total reward,episodes
10000,46.0,142
20000,130.0,398
30000,205.0,718
40000,241.0,1083
50000,202.0,1407
60000,230.0,1745
70000,245.0,2091
80000,236.0,2453
90000,252.0,2806
100000,234.0,3153
