episodes,steps,total reward
135,10000,6.0
301,20000,55.0
550,30000,157.0
958,40000,329.0
1377,50000,341.0
1801,60000,342.0
2227,70000,351.0
2644,80000,340.0
3059,90000,342.0
3467,100000,339.0
