total reward,episodes,steps
13.0,296,10000
18.0,502,20000
14.0,698,30000
18.0,872,40000
24.0,1074,50000
16.0,1267,60000
30.0,1477,70000
22.0,1691,80000
31.0,1908,90000
62.0,2184,100000
