episodes,total reward,steps
127,8.0,10000
231,28.0,20000
412,117.0,30000
831,328.0,40000
1252,319.0,50000
1678,344.0,60000
2096,348.0,70000
2521,346.0,80000
2960,340.0,90000
3386,350.0,100000
