total reward,episodes,steps
40.0,150,10000
141.0,397,20000
229.0,761,30000
182.0,1045,40000
208.0,1361,50000
261.0,1724,60000
246.0,2085,70000
263.0,2461,80000
262.0,2840,90000
243.0,3200,100000
