steps,episodes,total reward
10000,107,-1.0700000000000007
20000,196,-0.8900000000000006
30000,257,-0.6100000000000003
40000,344,-0.8700000000000006
50000,412,-0.6800000000000004
60000,476,-0.6400000000000003
70000,531,-0.5500000000000003
80000,586,-0.5500000000000003
90000,637,-0.5100000000000002
100000,712,-0.7500000000000004
