steps,episodes,total reward
10000,112,19.0
20000,227,18.0
30000,403,56.0
40000,621,79.0
50000,925,138.0
60000,1242,184.0
70000,1554,196.0
80000,1903,221.0
90000,2230,222.0
100000,2517,201.0
