episodes,total reward,steps
133,1.0,10000
291,86.0,20000
490,125.0,30000
722,148.0,40000
904,115.0,50000
1133,150.0,60000
1366,157.0,70000
1634,172.0,80000
1882,163.0,90000
2136,167.0,100000
