steps,episodes,total reward
10000,184,19.0
20000,361,12.0
30000,604,23.0
40000,875,42.0
50000,1096,42.0
60000,1291,40.0
70000,1566,68.0
80000,1789,51.0
90000,2062,60.0
100000,2367,77.0
