steps,total reward,episodes
10000,10.0,263
20000,12.0,502
30000,10.0,722
40000,9.0,963
50000,19.0,1191
60000,10.0,1406
70000,12.0,1613
80000,15.0,1864
90000,20.0,2100
100000,8.0,2313
