steps,episodes,total reward
10000,163,15.0
20000,363,23.0
30000,607,18.0
40000,775,9.0
50000,967,16.0
60000,1175,22.0
70000,1405,24.0
80000,1612,25.0
90000,1838,31.0
100000,2047,32.0
