steps,episodes,total reward
10000,0,0.0
20000,0,0.0
30000,1,1.0
40000,2,1.0
50000,2,0.0
60000,2,0.0
70000,3,1.0
80000,3,0.0
90000,4,1.0
100000,5,1.0
110000,6,1.0
120000,9,3.0
130000,11,2.0
140000,12,1.0
150000,14,2.0
160000,15,1.0
170000,16,1.0
180000,20,4.0
190000,21,1.0
200000,23,2.0
210000,24,1.0
220000,26,2.0
230000,28,2.0
240000,31,3.0
250000,32,1.0
260000,33,1.0
270000,35,2.0
280000,38,3.0
290000,40,2.0
300000,42,2.0
310000,46,4.0
320000,49,3.0
330000,50,1.0
340000,55,5.0
350000,57,2.0
360000,60,3.0
370000,62,2.0
380000,65,3.0
390000,69,4.0
400000,72,3.0
410000,81,9.0
420000,85,4.0
430000,91,6.0
440000,95,4.0
450000,97,2.0
460000,103,6.0
470000,111,8.0
480000,114,3.0
490000,121,7.0
500000,129,8.0
510000,136,7.0
520000,145,9.0
530000,150,5.0
540000,157,7.0
550000,165,8.0
560000,174,9.0
570000,185,11.0
580000,197,12.0
590000,206,9.0
600000,219,13.0
610000,236,17.0
620000,256,20.0
630000,276,20.0
640000,298,22.0
650000,321,23.0
660000,346,25.0
670000,379,33.0
680000,418,39.0
690000,457,39.0
700000,500,43.0
710000,545,45.0
720000,606,61.0
730000,672,66.0
740000,731,59.0
750000,833,102.0
760000,973,140.0
770000,1082,109.0
780000,1227,145.0
790000,1372,145.0
800000,1501,129.0
810000,1644,143.0
820000,1773,129.0
830000,1911,138.0
840000,2044,133.0
850000,2190,146.0
860000,2330,140.0
870000,2475,145.0
880000,2624,149.0
890000,2775,151.0
900000,2929,154.0
910000,3080,151.0
920000,3233,153.0
930000,3385,152.0
940000,3539,154.0
950000,3693,154.0
960000,3847,154.0
970000,3999,152.0
980000,4152,153.0
990000,4305,153.0
1000000,4459,154.0
1010000,4612,153.0
1020000,4766,154.0
1030000,4918,152.0
1040000,5071,153.0
1050000,5224,153.0
1060000,5375,151.0
1070000,5525,150.0
1080000,5677,152.0
1090000,5828,151.0
1100000,5980,152.0
1110000,6132,152.0
1120000,6279,147.0
1130000,6430,151.0
1140000,6584,154.0
1150000,6737,153.0
1160000,6891,154.0
1170000,7042,151.0
1180000,7193,151.0
1190000,7345,152.0
1200000,7497,153.0
1210000,7635,137.0
1220000,7787,152.0
1230000,7939,152.0
1240000,8093,154.0
1250000,8245,152.0
1260000,8398,153.0
1270000,8552,154.0
1280000,8702,150.0
1290000,8855,153.0
1300000,9008,153.0
1310000,9162,154.0
1320000,9315,153.0
1330000,9469,154.0
1340000,9621,152.0
1350000,9773,152.0
1360000,9926,153.0
1370000,10074,148.0
1380000,10226,152.0
1390000,10377,151.0
1400000,10530,153.0
1410000,10682,152.0
1420000,10828,146.0
1430000,10981,153.0
1440000,11129,148.0
1450000,11281,152.0
1460000,11434,153.0
1470000,11587,153.0
1480000,11740,153.0
1490000,11890,150.0
1500000,12044,154.0
1510000,12196,152.0
1520000,12350,154.0
1530000,12504,154.0
1540000,12655,151.0
1550000,12808,153.0
1560000,12961,153.0
1570000,13113,152.0
1580000,13265,152.0
1590000,13417,152.0
1600000,13570,153.0
1610000,13723,153.0
1620000,13875,152.0
1630000,14026,151.0
1640000,14178,152.0
1650000,14330,152.0
1660000,14483,153.0
1670000,14637,154.0
1680000,14789,152.0
1690000,14942,153.0
1700000,15089,147.0
1710000,15239,150.0
1720000,15392,153.0
1730000,15546,154.0
1740000,15695,149.0
1750000,15849,154.0
1760000,16001,152.0
1770000,16154,153.0
1780000,16307,153.0
1790000,16458,151.0
1800000,16600,142.0
1810000,16753,153.0
1820000,16905,152.0
1830000,17057,152.0
1840000,17208,151.0
1850000,17357,149.0
1860000,17507,150.0
1870000,17654,147.0
1880000,17806,152.0
1890000,17959,153.0
1900000,18111,152.0
1910000,18264,153.0
1920000,18417,153.0
1930000,18568,151.0
1940000,18721,153.0
1950000,18873,152.0
1960000,19026,153.0
1970000,19179,153.0
1980000,19332,153.0
1990000,19484,152.0
2000000,19635,151.0
