steps,total reward,episodes
10000,34.0,204
20000,43.0,357
30000,34.0,490
40000,38.0,626
50000,30.0,744
60000,39.0,891
70000,37.0,1041
80000,47.0,1213
90000,62.0,1383
100000,63.0,1544
