steps,total reward,episodes
10000,13.0,94
20000,155.0,321
30000,254.0,675
40000,268.0,1028
50000,262.0,1378
60000,266.0,1730
70000,259.0,2084
80000,258.0,2443
90000,251.0,2793
100000,262.0,3142
