total reward,steps,episodes
37.0,10000,161
69.0,20000,365
71.0,30000,576
79.0,40000,836
97.0,50000,1130
82.0,60000,1379
88.0,70000,1629
92.0,80000,1894
139.0,90000,2260
95.0,100000,2550
