episodes,steps,total reward
98,10000,15.0
253,20000,89.0
673,30000,338.0
1107,40000,336.0
1540,50000,342.0
1970,60000,335.0
2406,70000,336.0
2834,80000,334.0
3260,90000,336.0
3689,100000,343.0
