episodes,steps,total reward
179,10000,22.0
352,20000,25.0
590,30000,46.0
808,40000,28.0
1074,50000,49.0
1321,60000,28.0
1591,70000,52.0
1862,80000,35.0
2134,90000,42.0
2360,100000,42.0
