steps,episodes,total reward
10000,250,0.0
20000,379,6.0
30000,510,13.0
40000,643,13.0
50000,770,16.0
60000,883,20.0
70000,1012,27.0
80000,1167,43.0
90000,1330,58.0
100000,1522,94.0
