steps,total reward,episodes
10000,1.0,233
20000,4.0,383
30000,16.0,522
40000,19.0,655
50000,51.0,804
60000,92.0,1011
70000,94.0,1213
80000,117.0,1441
90000,131.0,1668
100000,131.0,1906
