total reward,steps,episodes
7.0,10000,159
8.0,20000,330
17.0,30000,517
22.0,40000,674
40.0,50000,879
71.0,60000,1105
63.0,70000,1303
97.0,80000,1546
103.0,90000,1814
111.0,100000,2071
