steps,episodes,total reward
10000,142,41.0
20000,374,98.0
30000,608,92.0
40000,901,136.0
50000,1206,172.0
60000,1481,163.0
70000,1764,163.0
80000,2040,155.0
90000,2349,205.0
100000,2649,186.0
