steps,total reward,episodes
10000,20.0,199
20000,40.0,328
30000,45.0,453
40000,56.0,582
50000,65.0,721
60000,65.0,857
70000,81.0,1006
80000,110.0,1193
90000,119.0,1375
100000,155.0,1590
