episodes,steps,total reward
191,10000,51.0
390,20000,69.0
576,30000,79.0
811,40000,78.0
980,50000,57.0
1227,60000,95.0
1456,70000,80.0
1624,80000,65.0
1852,90000,95.0
2108,100000,94.0
