steps,episodes,total reward
10000,133,0.0
20000,220,0.0
30000,382,86.0
40000,712,251.0
50000,1092,299.0
60000,1441,271.0
70000,1786,291.0
80000,2143,283.0
90000,2520,306.0
100000,2853,246.0
