total reward,steps,episodes
0.0,10000,180
0.0,20000,320
0.0,30000,455
1.0,40000,576
7.0,50000,709
2.0,60000,813
7.0,70000,916
6.0,80000,1016
4.0,90000,1126
9.0,100000,1226
