total reward,steps,episodes
9.0,10000,99
15.0,20000,193
64.0,30000,354
102.0,40000,597
140.0,50000,894
202.0,60000,1234
219.0,70000,1578
209.0,80000,1893
249.0,90000,2267
258.0,100000,2632
