steps,episodes,total reward
10000,133,0.0
20000,230,0.0
30000,311,4.0
40000,430,47.0
50000,678,179.0
60000,946,173.0
70000,1196,178.0
80000,1417,132.0
90000,1667,166.0
100000,1892,152.0
