episodes,total reward,steps
176,0.0,10000
326,0.0,20000
465,0.0,30000
592,2.0,40000
700,7.0,50000
809,3.0,60000
911,5.0,70000
1023,5.0,80000
1131,6.0,90000
1235,6.0,100000
