steps,total reward,episodes
10000,17.0,94
20000,101.0,265
30000,308.0,670
40000,341.0,1103
50000,346.0,1533
60000,334.0,1965
70000,348.0,2390
80000,348.0,2826
90000,343.0,3252
100000,341.0,3679
