episodes,steps,total reward
80,10000,-0.8000000000000005
140,20000,-0.6000000000000003
188,30000,-0.48000000000000026
235,40000,-0.47000000000000025
274,50000,-0.3900000000000002
316,60000,-0.4200000000000002
366,70000,-0.5000000000000002
416,80000,-0.5000000000000002
474,90000,-0.5800000000000003
527,100000,-0.5300000000000002
