total reward,episodes,steps
12.0,184,10000
22.0,418,20000
12.0,627,30000
27.0,816,40000
38.0,1078,50000
14.0,1266,60000
18.0,1443,70000
20.0,1619,80000
18.0,1820,90000
17.0,1989,100000
