episodes,steps,total reward
126,10000,3.0
305,20000,90.0
552,30000,156.0
778,40000,146.0
1032,50000,168.0
1304,60000,179.0
1534,70000,151.0
1754,80000,152.0
1969,90000,143.0
2242,100000,201.0
