episodes,steps,total reward
186,10000,22.0
320,20000,36.0
418,30000,41.0
550,40000,57.0
690,50000,60.0
841,60000,78.0
994,70000,86.0
1154,80000,100.0
1326,90000,107.0
1606,100000,192.0
