total reward,steps,episodes
25.0,10000,110
93.0,20000,254
299.0,30000,634
388.0,40000,1118
398.0,50000,1598
394.0,60000,2076
379.0,70000,2556
375.0,80000,3040
394.0,90000,3515
396.0,100000,3998
