episodes,total reward,steps
135,2.0,10000
262,49.0,20000
481,140.0,30000
879,313.0,40000
1303,341.0,50000
1717,339.0,60000
2140,342.0,70000
2547,334.0,80000
2961,339.0,90000
3371,328.0,100000
