total reward,episodes,steps
20.0,124,10000
86.0,319,20000
192.0,613,30000
174.0,890,40000
164.0,1168,50000
178.0,1464,60000
233.0,1790,70000
201.0,2093,80000
208.0,2388,90000
154.0,2626,100000
