steps,total reward,episodes
10000,26.0,292
20000,20.0,490
30000,22.0,720
40000,29.0,931
50000,33.0,1177
60000,26.0,1401
70000,31.0,1640
80000,20.0,1885
90000,31.0,2124
100000,25.0,2348
