steps,episodes,total reward
10000,95,7.0
20000,232,22.0
30000,359,18.0
40000,530,48.0
50000,771,120.0
60000,1017,136.0
70000,1230,113.0
80000,1463,137.0
90000,1772,188.0
100000,2060,178.0
