steps,episodes,total reward
10000,125,8.0
20000,211,25.0
30000,305,28.0
40000,409,48.0
50000,689,204.0
60000,1035,283.0
70000,1435,313.0
80000,1862,339.0
90000,2291,335.0
100000,2720,345.0
