steps,total reward,episodes
10000,0.0,179
20000,0.0,301
30000,0.0,431
40000,0.0,561
50000,6.0,682
60000,7.0,794
70000,4.0,908
80000,19.0,1035
90000,22.0,1155
100000,20.0,1280
