episodes,total reward,steps
221,34.0,10000
462,40.0,20000
724,61.0,30000
1065,93.0,40000
1341,69.0,50000
1628,82.0,60000
1908,86.0,70000
2216,88.0,80000
2489,70.0,90000
2816,93.0,100000
