total reward,steps,episodes
16.0,10000,118
25.0,20000,258
27.0,30000,412
70.0,40000,586
66.0,50000,772
71.0,60000,955
69.0,70000,1143
96.0,80000,1330
97.0,90000,1517
79.0,100000,1712
