total reward,episodes,steps
13.0,265,10000
16.0,499,20000
16.0,740,30000
15.0,959,40000
10.0,1187,50000
3.0,1418,60000
7.0,1616,70000
10.0,1849,80000
9.0,2057,90000
6.0,2269,100000
