steps,episodes,total reward
10000,87,19.0
20000,260,107.0
30000,672,331.0
40000,1090,338.0
50000,1519,344.0
60000,1945,350.0
70000,2372,348.0
80000,2798,341.0
90000,3219,349.0
100000,3650,339.0
