total reward,episodes,steps
31.0,117,10000
69.0,242,20000
245.0,572,30000
390.0,1052,40000
392.0,1547,50000
391.0,2029,60000
395.0,2499,70000
387.0,2992,80000
398.0,3470,90000
398.0,3942,100000
