episodes,total reward,steps
254,9.0,10000
510,12.0,20000
747,8.0,30000
962,17.0,40000
1246,14.0,50000
1471,13.0,60000
1707,11.0,70000
1907,9.0,80000
2156,21.0,90000
2350,11.0,100000
