episodes,steps,total reward
75,10000,0.0
138,20000,2.0
269,30000,59.0
537,40000,183.0
841,50000,214.0
1159,60000,242.0
1489,70000,226.0
1842,80000,268.0
2208,90000,264.0
2561,100000,259.0
