total reward,episodes,steps
25.0,227,10000
35.0,486,20000
60.0,792,30000
81.0,1141,40000
59.0,1442,50000
86.0,1819,60000
72.0,2181,70000
89.0,2600,80000
64.0,2990,90000
76.0,3341,100000
