steps,episodes,total reward
10000,159,17.0
20000,301,36.0
30000,458,53.0
40000,666,95.0
50000,871,110.0
60000,1128,134.0
70000,1440,179.0
80000,1702,155.0
90000,1984,198.0
100000,2193,111.0
