1.0	0.0000	0.0188	0.0462
2.0	0.0106	0.0249	0.0398
3.0	0.0105	0.0246	0.0368
4.0	0.0113	0.0206	0.0362
5.0	0.0117	0.0212	0.0338
6.0	0.0120	0.0221	0.0324
7.0	0.0125	0.0219	0.0293
8.0	0.0128	0.0209	0.0296
9.0	0.0140	0.0218	0.0303
10.0	0.0141	0.0219	0.0319
11.0	0.0145	0.0226	0.0318
12.0	0.0143	0.0211	0.0305
13.0	0.0153	0.0221	0.0303
14.0	0.0168	0.0225	0.0316
15.0	0.0164	0.0229	0.0310
16.0	0.0168	0.0217	0.0312
17.0	0.0168	0.0210	0.0311
18.0	0.0182	0.0232	0.0308
19.0	0.0177	0.0229	0.0322
20.0	0.0177	0.0243	0.0318
21.0	0.0176	0.0267	0.0325
22.0	0.0186	0.0251	0.0322
23.0	0.0193	0.0244	0.0348
24.0	0.0212	0.0268	0.0354
25.0	0.0219	0.0274	0.0360
26.0	0.0214	0.0288	0.0344
27.0	0.0229	0.0277	0.0348
28.0	0.0217	0.0285	0.0350
29.0	0.0220	0.0303	0.0357
30.0	0.0227	0.0314	0.0379
31.0	0.0230	0.0305	0.0365
32.0	0.0231	0.0304	0.0377
33.0	0.0215	0.0302	0.0383
34.0	0.0203	0.0296	0.0379
35.0	0.0209	0.0287	0.0364
36.0	0.0209	0.0290	0.0374
37.0	0.0210	0.0291	0.0388
38.0	0.0208	0.0266	0.0363
39.0	0.0214	0.0268	0.0358
40.0	0.0216	0.0283	0.0367
41.0	0.0222	0.0293	0.0358
42.0	0.0242	0.0289	0.0391
43.0	0.0235	0.0299	0.0399
44.0	0.0243	0.0308	0.0399
45.0	0.0251	0.0313	0.0393
46.0	0.0239	0.0309	0.0391
47.0	0.0247	0.0314	0.0399
48.0	0.0246	0.0316	0.0376
49.0	0.0241	0.0322	0.0369
50.0	0.0233	0.0320	0.0370
51.0	0.0253	0.0325	0.0394
52.0	0.0250	0.0332	0.0402
53.0	0.0241	0.0327	0.0434
54.0	0.0257	0.0330	0.0422
55.0	0.0260	0.0354	0.0447
56.0	0.0270	0.0355	0.0430
57.0	0.0270	0.0358	0.0455
58.0	0.0263	0.0342	0.0480
59.0	0.0238	0.0332	0.0457
60.0	0.0236	0.0338	0.0439
61.0	0.0219	0.0338	0.0447
62.0	0.0242	0.0336	0.0449
63.0	0.0236	0.0338	0.0444
64.0	0.0245	0.0359	0.0448
65.0	0.0243	0.0361	0.0435
66.0	0.0252	0.0363	0.0445
67.0	0.0252	0.0348	0.0438
68.0	0.0274	0.0341	0.0429
69.0	0.0267	0.0355	0.0424
70.0	0.0267	0.0343	0.0426
71.0	0.0249	0.0357	0.0429
72.0	0.0275	0.0366	0.0424
73.0	0.0280	0.0375	0.0458
74.0	0.0272	0.0361	0.0482
75.0	0.0271	0.0378	0.0484
76.0	0.0271	0.0390	0.0464
77.0	0.0278	0.0382	0.0521
78.0	0.0263	0.0376	0.0531
79.0	0.0272	0.0384	0.0537
80.0	0.0292	0.0433	0.0557
81.0	0.0307	0.0448	0.0525
82.0	0.0312	0.0438	0.0541
83.0	0.0290	0.0445	0.0566
84.0	0.0292	0.0437	0.0558
85.0	0.0347	0.0443	0.0577
86.0	0.0320	0.0433	0.0574
87.0	0.0334	0.0434	0.0587
88.0	0.0338	0.0425	0.0555
89.0	0.0325	0.0427	0.0549
90.0	0.0333	0.0430	0.0537
91.0	0.0338	0.0431	0.0549
92.0	0.0338	0.0445	0.0539
93.0	0.0336	0.0427	0.0540
94.0	0.0314	0.0441	0.0560
95.0	0.0325	0.0454	0.0562
96.0	0.0325	0.0434	0.0555
97.0	0.0337	0.0423	0.0552
98.0	0.0340	0.0413	0.0567
99.0	0.0317	0.0424	0.0560
