total reward,steps,episodes
2.0,10000,258
4.0,20000,473
9.0,30000,687
9.0,40000,889
11.0,50000,1147
5.0,60000,1377
11.0,70000,1569
7.0,80000,1753
13.0,90000,1990
8.0,100000,2223
