steps,total reward,episodes
10000,-1.1700000000000008,117
20000,-0.8100000000000005,198
30000,-0.6800000000000004,266
40000,-0.8300000000000005,349
50000,-0.6200000000000003,411
60000,-0.7000000000000004,481
70000,-0.7200000000000004,553
80000,-0.5800000000000003,611
90000,-0.5600000000000003,667
100000,-0.6000000000000003,727
