total reward,episodes,steps
59.0,202,10000
92.0,451,20000
98.0,695,30000
83.0,921,40000
101.0,1200,50000
90.0,1429,60000
112.0,1746,70000
79.0,1959,80000
104.0,2211,90000
140.0,2534,100000
