total reward,steps,episodes
1.0,10000,140
1.0,20000,300
5.0,30000,422
9.0,40000,575
16.0,50000,729
16.0,60000,865
17.0,70000,1019
8.0,80000,1141
8.0,90000,1272
11.0,100000,1399
