episodes,total reward,steps
179,6.0,10000
401,18.0,20000
637,10.0,30000
881,18.0,40000
1160,45.0,50000
1453,30.0,60000
1701,24.0,70000
2025,88.0,80000
2292,56.0,90000
2592,63.0,100000
