total reward,steps,episodes
22.0,10000,159
25.0,20000,258
38.0,30000,386
35.0,40000,535
53.0,50000,699
61.0,60000,875
119.0,70000,1088
154.0,80000,1376
82.0,90000,1607
93.0,100000,1843
