total reward,episodes,steps
11.0,147,10000
57.0,283,20000
211.0,576,30000
346.0,1005,40000
340.0,1430,50000
350.0,1848,60000
330.0,2249,70000
353.0,2672,80000
361.0,3105,90000
351.0,3526,100000
